30 100
-24 -13 -27
19 -30 -26
-27 6 14
22 14 -6
-27 3 29
-26 8 -17
-9 16 -22
30 9 -26
7 -6 -24
-1 -26 -16
23 -19 24
-12 9 -24
23 21 -9
-30 7 -20
-17 -5 3
-14 -9 -3
18 -28 20
-24 29 -11
-27 22 -25
-7 15 26
3 10 -10
30 -6 29
-21 -21 -20
-5 18 -2
28 24 -13
-26 3 -8
-6 7 25
-24 -25 -4
-19 25 -22
13 -27 -3
-7 -20 -16
-3 28 9
-6 -19 -14
-11 15 8
6 21 -21
23 -30 15
22 -14 -9
-28 -12 -24
17 6 29
25 17 -1
-11 21 -27
11 -21 -3
18 -2 17
29 9 -1
-27 24 -3
-10 -10 -2
6 -2 26
-10 -17 -20
-29 23 6
19 -14 28
8 -5 23
-11 -24 18
5 29 4
-24 -15 14
-26 23 -24
22 12 -19
-19 -25 19
-30 -14 3
-19 5 -30
-28 13 10
-28 14 -19
22 22 22
17 -3 -3
-24 -7 -18
20 6 15
-19 -24 8
28 25 -3
-14 23 29
21 9 7
24 -14 -9
11 -18 -10
-26 -18 -4
22 -13 -7
7 -14 16
-24 -14 -14
-19 -11 -30
2 21 -24
-1 11 -29
-3 -11 4
7 -4 19
8 13 -14
21 -6 -26
26 12 -10
-2 -12 22
3 30 15
28 18 -23
-4 15 15
17 -5 11
-8 -27 28
1 -25 -14
-27 -7 8
28 25 -2
-2 15 -30
26 -4 16
-13 -14 -27
16 16 20
-11 22 -19
25 12 30
4 -26 8
23 -23 -6
