30 400
14 22 24
-24 22 27
12 22 -27
-22 12 24
10 12 -24
17 -14 22
10 -14 -22
11 10 -17
16 -12 21
8 -12 24
-21 -12 -24
-12 11 22
-22 23 29
-16 23 -29
11 -22 27
-23 -22 -27
14 -11 28
10 -11 -28
-11 -14 17
12 -14 -17
10 -12 14
-1 -12 -14
12 14 22
17 14 -22
6 12 21
-17 12 -21
11 12 -14
-12 -10 23
6 -10 -23
6 12 27
17 12 -27
8 12 -17
-11 6 17
6 -12 23
-12 -17 24
-23 -17 -24
11 -8 12
-8 6 22
-22 6 23
14 6 -23
-14 -12 28
-8 -12 -28
12 -11 17
-8 -17 21
-21 -11 22
-17 -22 24
-11 -22 -24
-12 24 28
24 -28 30
-11 -28 -30
-1 -11 -24
4 14 27
-1 14 -27
12 -1 17
-17 -14 30
-1 -14 -30
-1 11 20
-12 11 -20
-11 20 24
14 20 -24
-6 14 -20
-11 -1 28
-14 -1 -28
9 -1 12
10 -1 -12
-4 -10 24
-10 14 26
-24 14 -26
22 -1 23
-4 -1 -23
-22 -1 23
-23 -14 26
-1 -14 -26
-1 8 11
-11 8 17
-17 -9 22
-9 8 26
-22 -26 28
8 -26 -28
3 9 12
-8 9 -12
-8 11 24
20 11 -24
-20 -8 24
12 -8 -24
11 20 30
-9 20 -30
-12 -9 24
-20 -9 -24
16 -8 17
-1 -17 22
20 -17 -22
-8 -1 -20
-11 17 22
-8 17 26
-22 17 -26
-17 -16 22
-8 -16 24
-22 -16 -24
8 7 26
11 7 -26
7 -1 15
-11 -1 -15
12 16 17
11 16 24
-17 16 -24
14 -16 21
20 -16 -21
14 12 26
-20 12 -26
-1 11 -14
4 -12 20
-1 -12 -20
14 12 17
4 20 24
-24 -17 28
20 -17 -28
12 -17 29
-20 -17 -29
12 -14 15
-14 -15 17
-11 -15 20
-17 -15 26
-20 -15 -26
-12 4 23
4 -8 28
-23 -8 -28
22 16 24
11 16 26
-26 16 29
-24 16 -29
14 -22 23
-22 11 28
-23 11 -28
-16 8 20
14 -20 24
22 -20 -24
-22 8 24
14 8 -24
-7 11 -14
20 8 23
8 9 26
-23 9 -26
-20 8 28
17 8 -28
-11 8 -17
17 -9 26
12 -9 -26
24 -17 27
-9 -17 -27
-1 -9 -24
20 -7 26
14 -7 -26
-20 14 26
-1 14 -26
-14 -1 27
-12 -1 -27
11 -1 23
16 -1 -23
11 18 22
-8 18 -22
-16 -8 -18
14 15 18
-8 15 -18
-1 14 28
-15 14 -28
-11 -8 -14
6 11 15
-15 11 17
11 -17 30
8 -17 -30
6 7 22
15 7 -22
6 -11 20
-15 -11 -20
22 12 28
-8 12 -28
7 -8 24
-8 -24 26
-22 -24 -26
-8 19 29
11 19 -29
-19 11 23
17 11 -23
-17 14 22
14 -22 24
11 -22 -24
28 23 30
-12 23 -30
22 23 -28
16 -12 -23
-14 -12 -22
11 17 20
-20 22 28
17 22 -28
-22 -16 24
17 -24 26
-16 -24 -26
-16 -17 23
-12 -17 -23
17 -11 22
-8 -11 -22
16 -8 -17
17 -16 23
-8 -16 -23
-4 -16 -17
12 14 26
20 14 -26
22 -7 26
-20 -7 -26
-20 14 24
-22 14 -24
11 -7 -14
9 11 -12
6 -11 15
-11 -15 17
14 -17 24
-15 -17 26
-26 -17 27
-24 -17 -27
-14 12 28
23 12 -28
-11 12 -23
-11 -12 24
-7 -12 -24
-9 -7 12
-12 24 28
8 24 -28
20 8 -24
-7 -12 -20
-8 14 28
-1 14 -28
-8 -14 23
22 -14 -23
-14 -7 23
-22 -7 -23
-6 8 14
-14 8 23
-23 12 28
8 12 -28
-12 8 14
11 8 22
20 8 28
-22 8 -28
16 22 30
25 22 -30
11 22 -25
-20 -22 26
16 -22 -26
-14 11 -16
-11 -3 17
-3 -17 20
-17 -6 22
-20 -6 -22
-4 11 17
-17 11 27
23 11 -27
-23 14 28
-17 14 -28
12 11 -14
-6 22 26
20 22 -26
-22 14 29
20 14 -29
-4 -6 -20
-12 -6 -14
12 16 22
20 16 -22
12 -20 23
-20 -23 26
-8 -23 -26
-6 12 -16
-12 -11 17
-17 -8 30
-11 -8 -30
8 1 14
11 1 -14
1 12 14
1 12 -14
-11 1 -12
2 11 22
-8 11 -22
1 -11 12
-12 -11 17
-8 -11 -17
11 14 17
14 4 20
-17 23 28
-20 23 -28
-23 -20 24
4 -20 28
-24 -20 -28
-2 11 -14
4 -11 28
12 -11 -28
-12 14 20
14 -20 30
-11 -20 -30
-14 10 26
22 10 -26
17 -14 -22
23 -11 26
-14 -11 -26
-23 -17 24
-11 -17 -24
8 11 12
11 -10 24
17 -10 -24
-12 11 -17
-11 -10 24
20 -24 28
-10 -24 -28
-10 12 29
-20 12 -29
-12 -10 20
-20 17 24
-10 17 -24
-2 22 30
-12 22 -30
-17 -2 -22
14 -2 23
11 -2 -23
-2 24 26
-14 24 -26
22 -2 -24
1 -2 -22
-11 12 14
-14 12 22
10 12 -22
17 -12 24
10 -12 -24
1 -17 20
10 -17 -20
12 -8 24
-24 11 27
-8 11 -27
-12 -8 20
15 -20 22
-22 -20 30
26 -20 -30
